Hour,Timestamp,Busyness Predicted,Taxi Zone ID
22,1690837200.0,0.008778877426291338,114
23,1690840800.0,-0.01762919535994345,114
0,1690758000.0,0.038472564463321215,116
1,1690761600.0,-0.2785103836413154,116
2,1690765200.0,-0.6164122396720705,116
3,1690768800.0,-0.7524070769010348,116
4,1690772400.0,-0.8956976155022509,116
5,1690776000.0,-0.9035677297462444,116
6,1690779600.0,-0.8520842831734688,116
7,1690783200.0,-0.8394804302527658,116
8,1690786800.0,-0.783463306160753,116
9,1690790400.0,-0.6747300670750058,116
10,1690794000.0,-0.5653966445168438,116
11,1690797600.0,-0.4328931220667951,116
12,1690801200.0,-0.34202836219994154,116
13,1690804800.0,-0.2811097397498771,116
14,1690808400.0,-0.14336763283076598,116
15,1690812000.0,-0.0623428640548183,116
16,1690815600.0,0.017281476618829044,116
17,1690819200.0,-0.056441059909409765,116
18,1690822800.0,-0.011027177163384756,116
19,1690826400.0,0.022182974976880217,116
20,1690830000.0,0.043789579983799586,116
21,1690833600.0,0.0425892130389707,116
22,1690837200.0,0.02368343365791628,116
23,1690840800.0,0.010294807877237019,116
0,1690758000.0,-0.7596977750716648,120
1,1690761600.0,-0.8145728161475674,120
2,1690765200.0,-0.8376798798355228,120
3,1690768800.0,-0.8418811641424235,120
4,1690772400.0,-0.8797927534832684,120
5,1690776000.0,-0.8978982882344364,120
6,1690779600.0,-0.8924966369827072,120
7,1690783200.0,-0.8590382005133831,120
8,1690786800.0,-0.8586863013700279,120
9,1690790400.0,-0.8564856286378415,120
10,1690794000.0,-0.8541849253269193,120
11,1690797600.0,-0.8608869741022134,120
12,1690801200.0,-0.832378259162528,120
13,1690804800.0,-0.8244758434424047,120
14,1690808400.0,-0.8102715012619299,120
15,1690812000.0,-0.7890650185699537,120
16,1690815600.0,-0.7565550804808384,120
17,1690819200.0,-0.761756670575098,120
18,1690822800.0,-0.7755608904406296,120
19,1690826400.0,-0.7948667921366271,120
20,1690830000.0,-0.7970674648688133,120
21,1690833600.0,-0.7814445952521218,120
22,1690837200.0,-0.7629446436662256,120
23,1690840800.0,-0.746752083764737,120
0,1690758000.0,-0.9197719144999965,125
1,1690761600.0,-0.8459824178705887,125
2,1690765200.0,-0.844181867453346,125
3,1690768800.0,-0.8407808277763305,125
4,1690772400.0,-0.9050004593246743,125
5,1690776000.0,-0.9113023857850259,125
6,1690779600.0,-0.9176043122453764,125
7,1690783200.0,-0.8916505524223977,125
8,1690786800.0,-0.9182044957177921,125
9,1690790400.0,-0.9188046791902061,125
10,1690794000.0,-0.9188046791902061,125
11,1690797600.0,-0.919804984977563,125
12,1690801200.0,-0.9197049543988265,125
13,1690804800.0,-0.9185045874539977,125
14,1690808400.0,-0.916904098194226,125
15,1690812000.0,-0.9139031808321536,125
16,1690815600.0,-0.9147034254620395,125
17,1690819200.0,-0.9132029667810051,125
18,1690822800.0,-0.9130029056235337,125
19,1690826400.0,-0.912902875044798,125
20,1690830000.0,-0.9127028138873267,125
21,1690833600.0,-0.9127028138873264,125
22,1690837200.0,-0.9129028750447981,125
23,1690840800.0,-0.912902875044798,125
0,1690758000.0,-0.8785923865384393,127
1,1690761600.0,-0.8832938237390188,127
2,1690765200.0,-0.8488833046539257,127
3,1690768800.0,-0.8407808277763305,127
4,1690772400.0,-0.9047003675884672,127
5,1690776000.0,-0.9102020494189328,127
6,1690779600.0,-0.9180044345603205,127
7,1690783200.0,-0.9183045262965266,127
8,1690786800.0,-0.9115024469424976,127
9,1690790400.0,-0.9113023857850261,127
10,1690794000.0,-0.9070010708993894,127
11,1690797600.0,-0.904100184116053,127
