Hour,start_timestamp,Busyness Predicted,Taxi Zone ID
18,1691254800.0,0.032809637,163
19,1691258400.0,0.011289584,163
20,1691262000.0,0.010081672,163
21,1691265600.0,-0.014046531,163
22,1691269200.0,-0.015773308,163
23,1691272800.0,-0.023010269,163
0,1691190000.0,0.08770661,164
1,1691193600.0,0.07303412,164
2,1691197200.0,0.058783595,164
3,1691200800.0,0.053308822,164
4,1691204400.0,0.046415348,164
5,1691208000.0,0.043234367,164
6,1691211600.0,0.013376456,164
7,1691215200.0,-0.061645303,164
8,1691218800.0,-0.057025995,164
9,1691222400.0,-0.0032289713,164
10,1691226000.0,0.090229206,164
11,1691229600.0,0.1038061,164
12,1691233200.0,0.103957176,164
13,1691236800.0,0.11052371,164
14,1691240400.0,0.099859044,164
15,1691244000.0,0.0764105,164
16,1691247600.0,0.017342852,164
17,1691251200.0,-0.03960675,164
18,1691254800.0,-0.02840768,164
19,1691258400.0,-0.064134866,164
20,1691262000.0,-0.03682179,164
21,1691265600.0,-0.03367364,164
22,1691269200.0,-0.030169394,164
23,1691272800.0,-0.029010728,164
0,1691190000.0,0.081231624,166
1,1691193600.0,0.078668,166
2,1691197200.0,0.0609159,166
3,1691200800.0,0.05124505,166
4,1691204400.0,0.044351574,166
5,1691208000.0,0.038519967,166
6,1691211600.0,0.012193678,166
7,1691215200.0,-0.06112762,166
8,1691218800.0,-0.04483949,166
9,1691222400.0,0.024501836,166
10,1691226000.0,0.117959976,166
11,1691229600.0,0.13153687,166
12,1691233200.0,0.12357913,166
13,1691236800.0,0.1281482,166
14,1691240400.0,0.12200218,166
15,1691244000.0,0.10085978,166
16,1691247600.0,0.022676336,166
17,1691251200.0,-0.030001761,166
18,1691254800.0,-0.018802682,166
19,1691258400.0,-0.021856198,166
20,1691262000.0,-0.012345999,166
21,1691265600.0,-0.019779067,166
22,1691269200.0,-0.02609754,166
23,1691272800.0,-0.01313724,166
0,1691190000.0,0.10324901,170
1,1691193600.0,0.088576555,170
2,1691197200.0,0.06789684,170
3,1691200800.0,0.066378266,170
4,1691204400.0,0.059484813,170
5,1691208000.0,0.05365321,170
6,1691211600.0,0.059393242,170
7,1691215200.0,0.07061696,170
8,1691218800.0,0.17067727,170
9,1691222400.0,0.24001865,170
10,1691226000.0,0.3334768,170
11,1691229600.0,0.34705377,170
12,1691233200.0,0.34840575,170
13,1691236800.0,0.37399086,170
14,1691240400.0,0.36332622,170
15,1691244000.0,0.37887532,170
16,1691247600.0,0.35369974,170
17,1691251200.0,0.33384362,170
18,1691254800.0,0.3450427,170
19,1691258400.0,0.2807898,170
20,1691262000.0,0.21017717,170
21,1691265600.0,0.14541543,170
22,1691269200.0,0.116592824,170
23,1691272800.0,0.109355874,170
0,1691190000.0,0.112986036,186
1,1691193600.0,0.10145501,186
2,1691197200.0,0.08077534,186
3,1691200800.0,0.08007651,186
4,1691204400.0,0.07318303,186
5,1691208000.0,0.063831784,186
6,1691211600.0,0.062009733,186
7,1691215200.0,0.016955012,186
